entrada1,aula1,10
entrada1,escalera1,10
aula1,aula2,7
aula2,baños1,7
baños1,escalera2,10
baños1,aula3,7
aula3,aula4,7
aula4,aula5,7
aula5,entrada2,10
entrada2,escalera3,10
entrada2,capilla,10
capilla,aula6,5
aula6,aula7,7
aula7,baños2,7
baños2,escalera4,10
baños2,aula8,7
aula8,aula9,7
aula9,entrada3,10
entrada3,escalera5,10
entrada3,cafeteria,12
cafeteria,baños3,12
baños3,escalera6,10
baños3,reprografia,7
reprografia,aula10,5
aula10,banco,5
banco,entrada4,15
banco,escalera7,15
entrada4,escalera7,15
entrada4,aula11,15
entrada4,escalera8,15
escalera8,aula11,15
aula11,aula12,7
aula12,baños4,7
baños4,escalera9,10
baños4,aula13,7
aula13,aula14,7
aula14,entrada1,10
baño1,patio1,10
patio1,patio4,7
patio4,patio6,7
patio6,patio2,7
patio6,patio5,7
patio6,patio8,7
patio2,entrada1,10
patio5,patio3,7
patio3,baños4,10
patio8,patio7,7
patio8,patio9,7
patio8,patio10,7
patio7,entrada2,10
patio9,entrada4,10
patio10,patio11,7
patio10,patio14,7
patio10,patio12,7
patio11,patio13,7
patio13,baños2,10
patio14,entrada3,10
patio12,patio15,7
patio15,baños3,10
vestibulo101,aula101,7
vestibul101,escalera101,10
escalera101,escalera1,7
aula101,aula102,7
aula102,baños101,7
baños101,escalera102,10
escalera102,escalera2,7
baños101,aula103,7
aula103,aula104,7
aula104,aula105,7
aula105,vestibulo102,7
vestibulo102,escalera103,10
escalera103,escalera3,7
vestibulo102,aula106,7
aula106,aula107,7
aula107,aula108,7
aula108,baños102,7
baños102,escalera104,10
escalera104,escalera4,7
baños102,aula109,7
aula109,aula110,7
aula110,vestibulo103,7
vestibulo103,escalera105,10
escalera105,escalera5,7
vestibulo103,aula111,7
aula111,aula112,7
aula112,baños103,7
baños103,escalera106,10
escalera106,escalera6,7
baños103,aula113,7
aula113,aula114,7
aula114,aula115,7
aula115,escalera107,15
escalera107,escalera7,10
escalera107,pasarela1,7
aula115,pasarela1,7
pasarela1,escalera108,10
escalera108,escalera8,7
escalera108,aula116,7
aula116,aula117,7
aula117,baños104,7
baños104,escalera109,10
escalera109,escalera9,7
baños104,aula118,7
aula118,aula119,7
aula119,vestibulo101,7
vestibulo201,aula201,7
vestibulo201,escalera201,10
escalera201,escalera101,7
aula201,aula202,7
aula202,baños201,7
baños201,escalera202,10
escalera202,escalera102,7
baños201,aula203,7
aula203,aula204,7
aula204,aula205,7
aula205,vestibulo202,7
vestibulo202,escalera203,10
escalera203,escalera103,7
vestibulo202,aula206,7
aula206,aula207,7
aula207,aula208,7
aula208,baños202,7
baños202,escalera204,10
escalera204,escalera104,7
baños202,aula209,7
aula209,aula210,7
aula210,vestibulo203,7
vestibulo203,escalera205,10
escalera205,escalera105,7
vestibulo203,aula211,7
aula211,aula212,7
aula212,baños203,7
baños203,escalera206,10
escalera206,escalera106,7
baños203,aula213,7
aula213,aula214,7
aula214,aula215,7
aula215,escalera207,15
aula215,pasarela2,10
escalera207,escalera107,10
escalera207,pasarela2,7
pasarela2,escalera208,7
pasarela2,aula216,10
escalera208,escalera108,7
escalera208,aula216,10
aula216,aula217,7
aula217,baños204,7
baños204,escalera209,10
escalera209,escalera109,7
baños204,aula218,7
aula218,aula219,7
aula219,vestibulo201,7